sample1	sample2	value	sample1_type	sample1_extraction_protocol_short	sample2_type	sample2_extraction_protocol_short	sample_type	sample_type_2	biomass_sample	biomass_sample_long
skin_armpit_A_1_microbiome2_L	skin_armpit_A_3_microbiome2_L	0.6215139442231076	human.armpit.A	MM (2-min.)	human.armpit.A	MM (2-min.)	human	human armpit	low	Low biomass
skin_armpit_A_1_qiagen_L	skin_armpit_A_2_qiagen_L	0.5822102425876011	human.armpit.A	PS	human.armpit.A	PS	human	human armpit	low	Low biomass
skin_armpit_A_1_qiagen_L	skin_armpit_A_3_qiagen_L	0.6217765042979942	human.armpit.A	PS	human.armpit.A	PS	human	human armpit	low	Low biomass
skin_armpit_A_2_microbiome20_L	skin_armpit_A_3_microbiome20_L	0.5708333333333333	human.armpit.A	MM (20-min.)	human.armpit.A	MM (20-min.)	human	human armpit	low	Low biomass
skin_armpit_A_2_microbiome2_L	skin_armpit_A_3_microbiome2_L	0.6486486486486487	human.armpit.A	MM (2-min.)	human.armpit.A	MM (2-min.)	human	human armpit	low	Low biomass
skin_armpit_A_2_qiagen_L	skin_armpit_A_3_qiagen_L	0.5583596214511041	human.armpit.A	PS	human.armpit.A	PS	human	human armpit	low	Low biomass
skin_armpit_B_1_microbiome20_L	skin_armpit_B_2_microbiome20_L	0.7777777777777778	human.armpit.B	MM (20-min.)	human.armpit.B	MM (20-min.)	human	human armpit	low	Low biomass
skin_armpit_B_1_microbiome20_L	skin_armpit_B_3_microbiome20_L	0.7225130890052356	human.armpit.B	MM (20-min.)	human.armpit.B	MM (20-min.)	human	human armpit	low	Low biomass
skin_armpit_B_1_microbiome2_L	skin_armpit_B_2_microbiome2_L	0.6454545454545455	human.armpit.B	MM (2-min.)	human.armpit.B	MM (2-min.)	human	human armpit	low	Low biomass
skin_armpit_B_1_microbiome2_L	skin_armpit_B_3_microbiome2_L	0.7598039215686274	human.armpit.B	MM (2-min.)	human.armpit.B	MM (2-min.)	human	human armpit	low	Low biomass
skin_armpit_B_1_qiagen_L	skin_armpit_B_2_qiagen_L	0.612565445026178	human.armpit.B	PS	human.armpit.B	PS	human	human armpit	low	Low biomass
skin_armpit_B_1_qiagen_L	skin_armpit_B_3_qiagen_L	0.6778242677824268	human.armpit.B	PS	human.armpit.B	PS	human	human armpit	low	Low biomass
skin_armpit_B_2_microbiome20_L	skin_armpit_B_3_microbiome20_L	0.7277777777777777	human.armpit.B	MM (20-min.)	human.armpit.B	MM (20-min.)	human	human armpit	low	Low biomass
skin_armpit_B_2_microbiome2_L	skin_armpit_B_3_microbiome2_L	0.7980295566502463	human.armpit.B	MM (2-min.)	human.armpit.B	MM (2-min.)	human	human armpit	low	Low biomass
skin_armpit_B_2_qiagen_L	skin_armpit_B_3_qiagen_L	0.6035242290748899	human.armpit.B	PS	human.armpit.B	PS	human	human armpit	low	Low biomass
skin_armpit_O_1_microbiome20_L	skin_armpit_O_2_microbiome20_L	0.7132701421800948	human.armpit.O	MM (20-min.)	human.armpit.O	MM (20-min.)	human	human armpit	low	Low biomass
